group,rows,W,L,P,VOID,BLANK,other_statuses,accuracy_ex_push,cal_n,cal_mean_probability,cal_observed_rate,cal_bias_p_minus_observed,cal_brier,cal_log_loss
0-19,1,0,1,0,0,0,{},0,1,0.08,0,0.08,0.0064,0.08338160893905101
0-9,1,0,1,0,0,0,{},0,1,0.06,0,0.06,0.0036,0.06187540371808753
10-19,4,0,4,0,0,0,{},0,4,0.18,0,0.18,0.0324,0.19845093872383818
20-29,4,2,2,0,0,0,{},0.5,4,0.245,0.5,-0.255,0.3005,0.8057450591133233
30-39,37,17,20,0,0,0,{},0.4594594594594595,37,0.36567567567567577,0.4594594594594595,-0.09378378378378371,0.24887837837837834,0.6901587846552804
30-49,1,0,1,0,0,0,{},0,1,0.42,0,0.42,0.17639999999999997,0.5447271754416719
40-49,116,45,68,1,1,0,"{""U"":1}",0.39823008849557523,113,0.4431858407079646,0.39823008849557523,0.044955752212389344,0.24350619469026552,0.6801464019568985
50-59,148,87,58,1,1,0,"{""U"":1}",0.6,145,0.5544137931034482,0.6,-0.045586206896551795,0.24189999999999995,0.6768680315804019
60-69,82,56,26,0,0,0,{},0.6829268292682927,82,0.6592682926829266,0.6829268292682927,-0.023658536585366097,0.20155609756097562,0.587833161783196
70-79,26,23,3,0,0,0,{},0.8846153846153846,26,0.7469230769230768,0.8846153846153846,-0.13769230769230778,0.1263923076923077,0.42986890386990123
80-89,15,14,1,0,0,0,{},0.9333333333333333,15,0.8246666666666668,0.9333333333333333,-0.10866666666666658,0.07635333333333333,0.30352869195962534
80+,2,2,0,0,0,0,{},1,2,0.82,1,-0.18000000000000005,0.03240000000000002,0.19845093872383832
