group,rows,W,L,P,VOID,BLANK,other_statuses,accuracy_ex_push,cal_n,cal_mean_probability,cal_observed_rate,cal_bias_p_minus_observed,cal_brier,cal_log_loss
AFL,42,21,21,0,0,0,{},0.5,42,0.519047619047619,0.5,0.01904761904761898,0.2551333333333333,0.7052175470940004
AFL live,2,2,0,0,0,0,{},1,2,0.5549999999999999,1,-0.44500000000000006,0.19865,0.5898027239388208
Baseball,24,15,9,0,0,0,{},0.625,24,0.5887500000000001,0.625,-0.03624999999999989,0.20977083333333332,0.6103456876200436
Baseball/KBO,4,2,2,0,0,0,{},0.5,4,0.54,0.5,0.040000000000000036,0.19679999999999997,0.584973317053626
Baseball/MLB,20,11,9,0,0,0,{},0.55,20,0.5410000000000001,0.55,-0.008999999999999897,0.20313999999999996,0.5962157260437059
Baseball/NPB,4,2,2,0,0,0,{},0.5,4,0.55,0.5,0.050000000000000044,0.26065,0.716056031577684
Basketball,89,47,42,0,0,0,{},0.5280898876404494,89,0.5180898876404494,0.5280898876404494,-0.010000000000000009,0.23424382022471893,0.6590881222586937
Basketball/Israel Winner League,4,3,1,0,0,0,{},0.75,4,0.5575,0.75,-0.1925,0.23687500000000003,0.6654649963249624
Basketball/NZNBL,16,7,9,0,0,0,{},0.4375,16,0.5075,0.4375,0.06999999999999995,0.25471249999999995,0.7024193144112111
Basketball/Spain ACB,6,3,3,0,0,0,{},0.5,6,0.5,0.5,0,0.29616666666666663,0.7882953730638084
Basketball/WNBA,4,2,2,0,0,0,{},0.5,4,0.5,0.5,0,0.3609,0.919111171819198
Cricket,41,24,15,0,2,0,{},0.6153846153846154,39,0.5564102564102564,0.6153846153846154,-0.05897435897435899,0.19841025641025636,0.5784551727319165
Cricket/MLC,8,5,3,0,0,0,{},0.625,8,0.48250000000000004,0.625,-0.14249999999999996,0.2707,0.739779397501834
Cricket/ODI,4,1,1,0,0,0,"{""U"":2}",0.5,2,0.5,0.5,0,0.2916,0.7765287894989963
Cricket/T20,4,2,2,0,0,0,{},0.5,4,0.5,0.5,0,0.2626,0.7185833457468236
Cricket/T20I,8,4,4,0,0,0,{},0.5,8,0.49999999999999994,0.5,-5.551115123125783e-17,0.25722500000000004,0.7077613239929614
Cricket/WT20I,36,18,18,0,0,0,{},0.5,36,0.4872222222222222,0.5,-0.012777777777777777,0.24414444444444447,0.6754450172438076
KBO,4,2,2,0,0,0,{},0.5,4,0.5275,0.5,0.02749999999999997,0.216475,0.625641006944449
KBO Baseball,4,3,1,0,0,0,{},0.75,4,0.54,0.75,-0.20999999999999996,0.18244999999999997,0.5561128515855415
MLB,16,7,7,2,0,0,{},0.5,14,0.5392857142857144,0.5,0.03928571428571437,0.21237857142857144,0.6167350494141168
Soccer,57,45,12,0,0,0,{},0.7894736842105263,57,0.6675438596491229,0.7894736842105263,-0.12192982456140344,0.12414561403508771,0.4147993911851601
Soccer/FIFA World Cup,24,11,13,0,0,0,{},0.4583333333333333,24,0.50125,0.4583333333333333,0.04291666666666666,0.20744583333333325,0.6107463723519161
WNBA,16,9,7,0,0,0,{},0.5625,16,0.504375,0.5625,-0.05812499999999998,0.26266875,0.7179013198631456
